stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003521301,521301,,Monroeville Muni,,0.23327395,0
Pennsylvania,42003521302,521302,,Monroeville Muni,,0.247892241,0
Pennsylvania,42003521401,521401,,Monroeville Muni,,0.256653428,0
Pennsylvania,42003521402,521402,,Monroeville Muni,,0.217399796,0
Pennsylvania,42003521500,521500,,Monroeville Muni,,0.262960639,0
Pennsylvania,42003522000,522000,,Pitcairn ,,0.304231081,0
Pennsylvania,42003523100,523100,,Penn Hills  ,,0.501530483,0
Pennsylvania,42003523200,523200,,Penn Hills  ,,0.352730978,0
Pennsylvania,42003523300,523300,,Penn Hills  ,,0.279977637,0
Pennsylvania,42003523400,523400,,Penn Hills  ,,0.299321709,0
Pennsylvania,42003523501,523501,,Penn Hills  ,,0.335680107,0
Pennsylvania,42003523502,523502,,Penn Hills  ,,0.306756772,0
Pennsylvania,42003523600,523600,,Penn Hills  ,,0.282028897,0
Pennsylvania,42003523701,523701,,Penn Hills  ,,0.301917321,0
Pennsylvania,42003523702,523702,,Penn Hills  ,,0.305211406,0
Pennsylvania,42003523800,523800,,Penn Hills  ,,0.281781021,0
Pennsylvania,42003524000,524000,,Verona ,,0.321492884,0
Pennsylvania,42003525100,525100,,Oakmont ,,0.222354623,0
Pennsylvania,42003525200,525200,,Oakmont ,,0.249598493,0
Pennsylvania,42003525300,525300,,Oakmont ,,0.228409496,0
Pennsylvania,42003526101,526101,,Plum ,,0.258876178,0
Pennsylvania,42003526102,526102,,Plum ,,0.275764706,0
Pennsylvania,42003526201,526201,,Plum ,,0.278563448,0
Pennsylvania,42003526202,526202,,Plum ,,0.27189195,0
Pennsylvania,42003526301,526301,,Plum ,,0.275220298,0
Pennsylvania,42003526302,526302,,Plum ,,0.225703486,0
Pennsylvania,42003550900,550900,,Mckeesport  ,,0.428708153,0
Pennsylvania,42003551200,551200,,Mckeesport  ,,0.383108866,0
Pennsylvania,42003551300,551300,,Mckeesport  ,,0.289979283,0
Pennsylvania,42003551900,551900,,Mckeesport  ,,0.431124763,0
Pennsylvania,42003552000,552000,,Mckeesport  ,,0.337149024,0
Pennsylvania,42003552100,552100,,Mckeesport  ,,0.388907896,0
Pennsylvania,42003552200,552200,,Mckeesport  ,,0.30356836,0
Pennsylvania,42003552300,552300,,Mckeesport  ,,0.478169583,0
Pennsylvania,42003552400,552400,,Mckeesport  ,,0.302839291,0
Pennsylvania,42003560400,560400,,Wilkinsburg ,,0.437485158,0
Pennsylvania,42003560500,560500,,Wilkinsburg ,,0.224347178,0
Pennsylvania,42003560600,560600,,Wilkinsburg ,,0.524226161,0
Pennsylvania,42003561000,561000,,Wilkinsburg ,,0.496650446,0
Pennsylvania,42003561100,561100,,Wilkinsburg ,,0.60500279,0
Pennsylvania,42003561200,561200,,Wilkinsburg ,,0.506953468,0
Pennsylvania,42003561400,561400,,Wilkinsburg ,,0.385814864,0
Pennsylvania,42003561500,561500,,Wilkinsburg ,,0.388965278,0
Pennsylvania,42003561600,160300,561600,Pittsburgh  ,Arlington,0.334520462,1
Pennsylvania,42003561600,160400,561600,Pittsburgh  ,Arlington Heights,0.473120252,1
